aboriginal,"원생의, 토착민의, 원주민",The land is owned by the {aboriginal} people that have lived there for centuries.
aboriginal,"원생의, 토착민의, 원주민",The {aboriginal} tribes of Australia have preserved their traditions for thousands of years.
aboriginal,"원생의, 토착민의, 원주민",Researchers are fascinated by the unique art forms developed by {aboriginal} communities in remote regions
adeherent,"지지자, 추종자",The princes are working hard to prove themselves as loyal {adherents} of the empire.
adeherent,"지지자, 추종자",He was a strong {adherent} of socialism.
alliance,동맹,Maintaining a strong {alliance} with other countries is essential for national security.
alliance,동맹,A strategic {alliance} with global powers is key to securing peace and stability.
alliance,동맹,"Without a reliable {alliance}, it would be difficult to navigate complex international challenges."
autocracy,전제(독재)정치,No one was brave enough to disagree with the leader of the {autocracy}.
autocracy,전제(독재)정치,"{Autocracy} concentrates power in the hands of a few, leaving little room for individual freedoms or diverse opinions."
autocracy,전제(독재)정치,"Under {autocracy}, dissent is suppressed, and the ability of people to shape their own lives is significantly reduced."
autonomy,자율성,{Autonomy} allows individuals to make decisions based on their own values and beliefs.
autonomy,자율성,"The six fractious republics, driven by their desire for self-governance, are demanding {autonomy} to preserve their distinct identities and control their own affairs."
bastion,"보루, 요새","The press, protecting the people's rights and holding power accountable, is the last {bastion} of democracy, ensuring freedom and fairness."
bastion,"보루, 요새","British public schools, long associated with exclusivity and tradition, are regarded as one of the last {bastions} of upper-class privilege, maintaining the social status and networks of the elite."
bastion,"보루, 요새","Our {bastion} , both in its physical fortifications and the values it stands for, is strong enough to protect our citizens."
cede,"(강제적으로) 양도하다, 할양하다","Under the Treaty of St. Petersburg signed in 1875, it was agreed that Japan would relinquish all rights to Sakhalin in exchange for Russia {ceding} the Kuril Islands to Japan."
cede,"(강제적으로) 양도하다, 할양하다",Russia {ceded} Alaska to the U.S. in 1867.
cede,"(강제적으로) 양도하다, 할양하다",The Qing dynasty {ceded} Hong Kong to the British Empire in 1842 through the treaty of Nanjing.
cede,"(강제적으로) 양도하다, 할양하다","After the war, the land was {ceded} to another country."
compatible,"양립될 수 있는, 화합할 수 있는",This software may not be {compatible} with older operating systems.
compatible,"양립될 수 있는, 화합할 수 있는","These two technologies are not {compatible}, so you'll need an adapter to make them work together."
compatible,"양립될 수 있는, 화합할 수 있는","His lifestyle choices are not {compatible} with the demands of his current job, leading to conflicts."
coveted,탐내는,"Champions of victory eagerly took every decoration, each one being highly {coveted}."
coveted,탐내는,They are this year’s winners of the {coveted} trophy.
decaying,"쇠퇴하는, 부패하는",The once vibrant neighborhood is now filled with {decaying} buildings and neglected streets.
decaying,"쇠퇴하는, 부패하는","Without proper maintenance, the infrastructure is slowly {decaying}, posing risks to the community."
decaying,"쇠퇴하는, 부패하는",The {decaying} state of the economy has left many businesses struggling to survive.
depose,"폐하다, 물러나게 하다",The president was {deposed} in a military coup.
depose,"폐하다, 물러나게 하다","As a result of a revolt, the king was {deposed}."
depose,"폐하다, 물러나게 하다","The rebel forces sought to {depose} the dictator, aiming to remove him from power and establish a new government."
diplomatic,외교적인,Maintaining {diplomatic} relations in the international community is crucial.
diplomatic,외교적인,The two countries relied on {diplomatic} channels to resolve the conflict without resorting to military action.
diplomatic,외교적인,The ambassador’s {diplomatic} efforts were crucial in maintaining peace between the neighboring nations.
expel,쫓아내다,The priest kept on praying so he could {expel} the malign spirits.
expel,쫓아내다,The school threatened to {expel} any student caught cheating on the final exam.
expel,쫓아내다,The organization voted to {expel} a member who violated its code of conduct.
fragmented,"분열된, 조각난",The Democratic Party was {fragmented}
fragmented,"분열된, 조각난",The industry is highly {fragmented} and needs consolidation.
fragmented,"분열된, 조각난",The once unified organization became {fragmented} after internal disputes and leadership changes.
fraught,"걱정스러운, 곤란한, 문제를 내포한","The new assessment system introduced by the university was a {fraught} endeavor, as students had to completely change their method of studying."
fraught,"걱정스러운, 곤란한, 문제를 내포한",The conversation was {fraught} with problems and hard to solve.
fraught,"걱정스러운, 곤란한, 문제를 내포한","The negotiations were {fraught} with tension, as both sides refused to compromise."
humilate,굴욕감을 주다,The coach's harsh criticism in front of the entire team served only to {humiliate} the player.
humilate,굴욕감을 주다,"She was careful not to {humiliate} her opponent, even after winning the debate."
humilate,굴욕감을 주다,No one deserves to be {humiliated} for making a simple mistake.
impose,부과하다,The South Korean government {imposes} massive taxes on inherited property.
impose,부과하다,It's unfair to {impose} your personal beliefs on others without considering their perspectives.
impose,부과하다,The school administration plans to {impose} a new dress code starting next semester.
prosperity,"번영, 번성",The Netherlands experienced long {prosperity} before losing the war by the British Empire.
prosperity,"번영, 번성",Our future {prosperity} depends on economic growth
prosperity,"번영, 번성",Economical {prosperity} came to South Korea with the hard workers in the construction industry.
regime,"정권, 체제",Saddam Hussein's {regime} of Iraq collapsed during the US invasion in 2003.
regime,"정권, 체제",The Hitler {regime} is known for their crimes against humanity.
swashbuckling,과거를 배경으로 모험·액션·칼싸움 등이 넘치는,The story is about a {swashbuckling} knight who travels across the land to rescue the princess.
swashbuckling,과거를 배경으로 모험·액션·칼싸움 등이 넘치는,"The pirate captain was known for his {swashbuckling} adventures, sailing the high seas with a sword in one hand and a treasure map in the other."
swashbuckling,과거를 배경으로 모험·액션·칼싸움 등이 넘치는,"Tired of playing the {swashbuckling} hero, he sought out more challenging roles."
tacitly,암묵적으로,"By not speaking up, he {tacitly} approved of the plan, even though he had some reservations."
tacitly,암묵적으로,"In the Katsura-Taft Agreement, Japan and the United States {tacitly} agreed not to interfere in each other's interests in Korea and the Philippines."
tacitly,암묵적으로,He {tacitly} admitted his mistake by quickly changing the subject when questioned.
vague,"흐릿한, 애매모호한","He is being {vague} about his motives for leaving the country, avoiding direct answers and leaving everyone unsure of his true intentions."
vague,"흐릿한, 애매모호한","The details in the story were too {vague} to be believed, lacking specific information and leaving too many unanswered questions."
wrest,"왜곡하다, 비틀다, 강제로 얻어내다","After years of legal battles, she finally managed to {wrest} ownership of the family business."
wrest,"왜곡하다, 비틀다, 강제로 얻어내다",Shareholders will try to {wrest} control of the company from the current management.
conspicuous,"눈에 잘 띄는, 튀는, 뚜렷한","The error in the report was {conspicuous}, standing out to everyone who read it."
conspicuous,"눈에 잘 띄는, 튀는, 뚜렷한","The absence of key players was {conspicuous} during the game, affecting the team's performance."
conspicuous,"눈에 잘 띄는, 튀는, 뚜렷한","The changes in his behavior were {conspicuous}, and everyone noticed something was wrong."
contest,"경쟁을 벌이다, 이의를 제기하다","She decided to {contest} the results of the election, claiming irregularities in the voting process."
contest,"경쟁을 벌이다, 이의를 제기하다",Several athletes will {contest} for the gold medal in the upcoming race.
contest,"경쟁을 벌이다, 이의를 제기하다","The team will {contest} the referee’s decision, believing it was unfair."
antagonistic,적대적인,"Their relationship has become increasingly {antagonistic}, with constant arguments and misunderstandings."
antagonistic,적대적인,"Despite their {antagonistic} views, they managed to have a respectful debate."
antagonistic,적대적인,His {antagonistic} attitude toward the proposal made it difficult to reach a consensus.
supremacy,"패권, 우위",The empire sought to establish {supremacy} over its neighboring territories through military conquest.
supremacy,"패권, 우위","The team has maintained its {supremacy} in the league, winning the championship for three consecutive years."
supremacy,"패권, 우위",Technological {supremacy} in the industry has allowed the company to dominate the market for decades.
precaution,"예방책, 예방 조치[수단]",Wearing a seatbelt is a simple but effective {precaution} to prevent injury in case of an accident.
precaution,"예방책, 예방 조치[수단]","As a {precaution}, they stocked up on food and water before the storm hit."
precaution,"예방책, 예방 조치[수단]",The doctor recommended taking antibiotics as a {precaution} to avoid infection.
cease to 동사,~하기를 중단하다,"After years of operation, the company will {cease to} exist due to financial struggles."
cease to 동사,~하기를 중단하다,He suddenly {ceased to} speak when he realized he was being recorded.
cease to 동사,~하기를 중단하다,The machine {ceased to} function after a power surge damaged its circuits.
temporary,"일시적인, 임시의","The pain from the injury was only {temporary}, and he recovered quickly."
temporary,"일시적인, 임시의",We had to find {temporary} housing while our home was being renovated.
temporary,"일시적인, 임시의",The bridge is closed for {temporary} repairs but will reopen soon.
prominent,"중요한, 유명한, 눈에 잘 띄는, 두드러진","The building is located on a {prominent} corner in the city center, making it highly visible."
prominent,"중요한, 유명한, 눈에 잘 띄는, 두드러진","His most {prominent} feature is his deep voice, which everyone remembers."
prominent,"중요한, 유명한, 눈에 잘 띄는, 두드러진",The artist’s work gained {prominent} recognition after the recent exhibition.
exertion,"노력, (권력, 영향력의) 행사","After a day of intense {exertion} at the gym, he was too tired to go out."
exertion,"노력, (권력, 영향력의) 행사",The president's {exertion} of authority was necessary to pass the new law despite opposition.
exertion,"노력, (권력, 영향력의) 행사",The successful {exertion} of diplomatic pressure led to the resolution of the conflict.
supersede,"대신하다, 대체하다","The new law will {supersede} the old regulations, making previous policies obsolete."
supersede,"대신하다, 대체하다","Her authority was {superseded} by a new manager, who took over all decision-making responsibilities."
supersede,"대신하다, 대체하다","In some cases, the court's ruling can {supersede} local laws, setting a new legal precedent."
emanate,"(어떤 느낌, 특질 등을) 발하다[내뿜다]","A warm glow seemed to {emanate} from the fireplace, filling the room with light."
emanate,"(어떤 느낌, 특질 등을) 발하다[내뿜다]",Confidence seemed to {emanate} from her as she delivered her speech.
emanate,"(어떤 느낌, 특질 등을) 발하다[내뿜다]","A strange smell began to {emanate} from the kitchen, indicating something was burning."
dictate,지시[명령]하다,"The manager tried to {dictate} every detail of the project, leaving little room for creativity."
dictate,지시[명령]하다,The teacher's strict guidelines {dictate} how students must format their essays.
dictate,지시[명령]하다,Market trends often {dictate} which products businesses should focus on.
axiomatic,자명한(=self-evident),"In mathematics, certain principles are considered {axiomatic} and don't require proof."
axiomatic,자명한(=self-evident),The idea that hard work leads to success is often treated as {axiomatic} in many cultures.
